[2020-06-03 11:09:04,581] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Starting read of logfile C:\PROGRA~1\WSO2\ENTERP~1\6683E8~1.0\repository\data\tmlog3.log
[2020-06-03 11:09:05,085] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Done read of logfile
[2020-06-03 11:09:05,086] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Logfile closed: C:\PROGRA~1\WSO2\ENTERP~1\6683E8~1.0\repository\data\tmlog3.log
[2020-06-03 11:09:05,090] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING core version: 3.8.0
[2020-06-03 11:09:05,090] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_file_name = tm.out
[2020-06-03 11:09:05,091] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_file_count = 1
[2020-06-03 11:09:05,091] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.automatic_resource_registration = true
[2020-06-03 11:09:05,091] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.client_demarcation = false
[2020-06-03 11:09:05,091] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.threaded_2pc = false
[2020-06-03 11:09:05,091] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.serial_jta_transactions = true
[2020-06-03 11:09:05,091] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.log_base_dir = repository/data
[2020-06-03 11:09:05,091] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_log_level = INFO
[2020-06-03 11:09:05,091] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.max_actives = 50
[2020-06-03 11:09:05,091] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.checkpoint_interval = 500
[2020-06-03 11:09:05,091] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.enable_logging = true
[2020-06-03 11:09:05,091] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.output_dir = repository/logs
[2020-06-03 11:09:05,091] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.log_base_name = tmlog
[2020-06-03 11:09:05,092] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_file_limit = 1073741824
[2020-06-03 11:09:05,092] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.max_timeout = 8000000
[2020-06-03 11:09:05,092] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.tm_unique_name = 10.1.160.93.tm
[2020-06-03 11:09:05,092] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING java.naming.factory.initial = com.sun.jndi.rmi.registry.RegistryContextFactory
[2020-06-03 11:09:05,092] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING java.naming.provider.url = rmi://localhost:1099
[2020-06-03 11:09:05,092] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.service = com.atomikos.icatch.standalone.UserTransactionServiceFactory
[2020-06-03 11:09:05,092] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.force_shutdown_on_vm_exit = true
[2020-06-03 11:09:05,092] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.default_jta_timeout = 5000000
[2020-06-03 17:01:11,206] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Logfile closed: C:\PROGRA~1\WSO2\ENTERP~1\6683E8~1.0\repository\data\tmlog4.log
[2020-06-03 17:01:11,210] [-1]  INFO {com.atomikos.icatch.imp.thread.TaskManager} - THREADS: using JDK thread pooling...
[2020-06-03 17:01:52,562] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Starting read of logfile C:\PROGRA~1\WSO2\ENTERP~1\6683E8~1.0\repository\data\tmlog4.log
[2020-06-03 17:01:54,273] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Done read of logfile
[2020-06-03 17:01:54,274] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Logfile closed: C:\PROGRA~1\WSO2\ENTERP~1\6683E8~1.0\repository\data\tmlog4.log
[2020-06-03 17:01:54,281] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING core version: 3.8.0
[2020-06-03 17:01:54,281] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_file_name = tm.out
[2020-06-03 17:01:54,281] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_file_count = 1
[2020-06-03 17:01:54,282] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.automatic_resource_registration = true
[2020-06-03 17:01:54,282] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.client_demarcation = false
[2020-06-03 17:01:54,282] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.threaded_2pc = false
[2020-06-03 17:01:54,282] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.serial_jta_transactions = true
[2020-06-03 17:01:54,282] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.log_base_dir = repository/data
[2020-06-03 17:01:54,282] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_log_level = INFO
[2020-06-03 17:01:54,282] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.max_actives = 50
[2020-06-03 17:01:54,282] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.checkpoint_interval = 500
